match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
SRI LANKA vs BANGLADESH,SRI LANKA,Maheesh Theekshana,4,0,25,0,0,3,6.20
SRI LANKA vs BANGLADESH,SRI LANKA,Wanindu Hasaranga (c),4,0,32,2,0,0,8.00
SRI LANKA vs BANGLADESH,SRI LANKA,Matheesha Pathirana,4,0,27,1,0,2,6.80
SRI LANKA vs BANGLADESH,SRI LANKA,Dasun Shanaka,1,0,11,0,0,1,11.00
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Marco Jansen,4,0,20,2,1,1,5.00
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Rabada,4,0,27,0,0,1,6.80
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Ottneil Baartman,4,0,11,4,0,1,2.80
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Nortje,4,0,19,2,1,1,4.80
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Maharaj,4,0,24,0,0,1,6.00
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Vivian Kingma,4,1,12,2,0,1,3.00
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Logan van Beek,4,1,21,2,0,0,5.20
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Paul van Meekeren,4,1,13,0,0,1,3.20
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Bas de Leede,3.5,0,34,1,1,0,8.90
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Tim Pringle,2,0,14,0,0,0,7.00
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Vikramjit Singh,1,0,11,0,0,0,11.00
AUSTRALIA vs ENGLAND,ENGLAND,Moeen,2,0,18,1,0,0,9.00
AUSTRALIA vs ENGLAND,ENGLAND,Will Jacks,1,0,22,0,0,0,22.00
AUSTRALIA vs ENGLAND,ENGLAND,Jofra Archer,4,0,28,1,0,1,7.00
AUSTRALIA vs ENGLAND,ENGLAND,Mark Wood,3,0,32,0,0,0,10.70
AUSTRALIA vs ENGLAND,ENGLAND,Adil Rashid,4,0,41,1,0,1,10.20
AUSTRALIA vs ENGLAND,ENGLAND,Chris Jordan,4,0,44,2,0,4,11.00
AUSTRALIA vs ENGLAND,ENGLAND,Livingstone,2,0,15,1,0,0,7.50
AUSTRALIA vs ENGLAND,AUSTRALIA,Mitchell Starc,3,0,37,0,0,2,12.30
AUSTRALIA vs ENGLAND,AUSTRALIA,Josh Hazlewood,4,0,28,1,0,0,7.00
AUSTRALIA vs ENGLAND,AUSTRALIA,Pat Cummins,4,0,23,2,0,1,5.80
AUSTRALIA vs ENGLAND,AUSTRALIA,Marcus Stoinis,3,0,24,1,0,2,8.00
AUSTRALIA vs ENGLAND,AUSTRALIA,Adam Zampa,4,0,28,2,0,0,7.00
AUSTRALIA vs ENGLAND,AUSTRALIA,Glenn Maxwell,2,0,22,0,0,0,11.00
WEST INDIES vs UGANDA,UGANDA,Alpesh Ramjani,3,0,16,1,0,0,5.30
WEST INDIES vs UGANDA,UGANDA,Cosmas Kyewuta,4,0,42,1,1,3,10.50
WEST INDIES vs UGANDA,UGANDA,Juma Miyagi,3,0,29,0,1,0,9.70
WEST INDIES vs UGANDA,UGANDA,Nsubuga,3,0,29,0,1,0,9.70
WEST INDIES vs UGANDA,UGANDA,Masaba (c),4,0,31,2,0,2,7.80
WEST INDIES vs UGANDA,UGANDA,Dinesh Nakrani,3,0,20,1,0,0,6.70
WEST INDIES vs UGANDA,WEST INDIES,Akeal Hosein,4,0,11,5,0,0,2.80
WEST INDIES vs UGANDA,WEST INDIES,Romario Shepherd,2,0,9,1,0,0,4.50
WEST INDIES vs UGANDA,WEST INDIES,Andre Russell,1,0,4,1,0,1,4.00
WEST INDIES vs UGANDA,WEST INDIES,Alzarri Joseph,3,0,6,2,0,1,2.00
WEST INDIES vs UGANDA,WEST INDIES,Gudakesh Motie,2,0,6,1,0,0,3.00
INDIA vs PAKISTAN,PAKISTAN,Shaheen Afridi,4,0,29,1,0,1,7.20
INDIA vs PAKISTAN,PAKISTAN,Naseem Shah,4,0,21,3,1,2,5.20
INDIA vs PAKISTAN,PAKISTAN,Amir,4,0,23,2,0,0,5.80
INDIA vs PAKISTAN,PAKISTAN,Iftikhar Ahmed,1,0,7,0,0,1,7.00
INDIA vs PAKISTAN,PAKISTAN,Imad Wasim,3,0,17,0,0,1,5.70
INDIA vs PAKISTAN,PAKISTAN,Haris Rauf,3,0,21,3,0,0,7.00
INDIA vs PAKISTAN,INDIA,Arshdeep Singh,4,0,31,1,0,2,7.80
INDIA vs PAKISTAN,INDIA,Mohammed Siraj,4,0,19,0,1,1,4.80
INDIA vs PAKISTAN,INDIA,Jasprit Bumrah,4,0,14,3,0,0,3.50
INDIA vs PAKISTAN,INDIA,Hardik Pandya,4,0,24,2,0,1,6.00
INDIA vs PAKISTAN,INDIA,Ravindra Jadeja,2,0,10,0,0,0,5.00
INDIA vs PAKISTAN,INDIA,Axar Patel,2,0,11,1,0,0,5.50
OMAN vs SCOTLAND,SCOTLAND,Mark Watt,4,0,25,1,0,2,6.20
OMAN vs SCOTLAND,SCOTLAND,Wheal,4,0,19,1,0,0,4.80
OMAN vs SCOTLAND,SCOTLAND,Christopher Sole,4,0,41,1,0,0,10.20
OMAN vs SCOTLAND,SCOTLAND,Safyaan Sharif,4,0,40,2,0,0,10.00
OMAN vs SCOTLAND,SCOTLAND,Michael Leask,3,0,21,0,0,1,7.00
OMAN vs SCOTLAND,SCOTLAND,Chris Greaves,1,0,2,1,0,0,2.00
OMAN vs SCOTLAND,OMAN,Bilal Khan,2.1,0,12,1,0,0,5.50
OMAN vs SCOTLAND,OMAN,Shakeel Ahmed,2,0,23,0,0,0,11.50
