match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,1,Reeza Hendricks,c and b Dipendra Singh,43,49,5,1,87.76
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,2,de Kock (wk),c and b Dipendra Singh,10,11,1,0,90.91
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,3,Markram (c),b Kushal Bhurtel,15,22,2,0,68.18
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,4,Klaasen,c Karan KC b Kushal Bhurtel,3,5,0,0,60.00
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,5,David Miller,c Lamichhane b Dipendra Singh,7,10,0,0,70.00
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,6,Tristan Stubbs,not out,27,18,2,1,150.00
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,7,Marco Jansen,c Anil Sah b Kushal Bhurtel,1,4,0,0,25.00
SOUTH AFRICA vs NEPAL,SOUTH AFRICA,8,Rabada,st Aasif Sheikh b Kushal Bhurtel,0,1,0,0,0.00
SOUTH AFRICA vs NEPAL,NEPAL,1,Kushal Bhurtel,b Shamsi,13,21,1,1,61.90
SOUTH AFRICA vs NEPAL,NEPAL,2,Aasif Sheikh (wk),b Shamsi,42,49,4,1,85.71
SOUTH AFRICA vs NEPAL,NEPAL,3,Rohit Paudel (c),b Shamsi,0,2,0,0,0.00
SOUTH AFRICA vs NEPAL,NEPAL,4,Anil Sah,c Marco Jansen b Markram,27,24,3,1,112.50
SOUTH AFRICA vs NEPAL,NEPAL,5,Dipendra Singh Airee,c de Kock b Shamsi,6,11,0,0,54.55
SOUTH AFRICA vs NEPAL,NEPAL,6,Kushal Malla,b Nortje,1,3,0,0,33.33
SOUTH AFRICA vs NEPAL,NEPAL,7,Gulsan Jha,run out (Klaasen),6,6,1,0,100.00
SOUTH AFRICA vs NEPAL,NEPAL,8,Sompal Kami,not out,8,4,0,1,200.00
UGANDA vs NEW ZEALAND,UGANDA,1,Ronak Patel,c Conway b Santner,2,20,0,0,10.00
UGANDA vs NEW ZEALAND,UGANDA,2,Simon Ssesazi,lbw b Boult,0,1,0,0,0.00
UGANDA vs NEW ZEALAND,UGANDA,3,Robinson Obuya,b Boult,0,1,0,0,0.00
UGANDA vs NEW ZEALAND,UGANDA,4,Alpesh Ramjani,lbw b Southee,0,6,0,0,0.00
