image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c616431/matt-henry.jpg?d=low&p=gthumb,"Matt Henry
Bowler",New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c351602/ish-sodhi.jpg?d=low&p=gthumb,"Ish Sodhi
Bowler",New Zealand,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c601546/tim-southee.jpg?d=low&p=gthumb,"Tim Southee
Bowler",New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616547/ibrahim-zadran.jpg?d=low&p=gthumb,"Ibrahim Zadran
Batsman",Afghanistan,Batsman,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c352434/najibullah-zadran.jpg?d=low&p=gthumb,"Najibullah Zadran
Batsman",Afghanistan,Batsman,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244750/hazratullah-zazai.jpg?d=low&p=gthumb,"Hazratullah Zazai
Batsman",Afghanistan,Batsman,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616548/gulbadin-naib.jpg?d=low&p=gthumb,"Gulbadin Naib
Batting Allrounder",Afghanistan,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616549/azmatullah-omarzai.jpg?d=low&p=gthumb,"Azmatullah Omarzai
Bowling Allrounder",Afghanistan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616550/mohammad-nabi.jpg?d=low&p=gthumb,"Mohammad Nabi
Bowling Allrounder",Afghanistan,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616553/rashid-khan.jpg?d=low&p=gthumb,Rashid Khan,Afghanistan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c226321/karim-janat.jpg?d=low&p=gthumb,"Karim Janat
Bowling Allrounder",Afghanistan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616554/nangeyalia-kharote.jpg?d=low&p=gthumb,"Nangeyalia Kharote
Bowling Allrounder",Afghanistan,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616556/rahmanullah-gurbaz.jpg?d=low&p=gthumb,"Rahmanullah Gurbaz
WK-Batsman",Afghanistan,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/mohammad-ishaq.jpg?d=low&p=gthumb,"Mohammad Ishaq
WK-Batsman",Afghanistan,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c352446/mujeeb-ur-rahman.jpg?d=low&p=gthumb,"Mujeeb Ur Rahman
Bowler",Afghanistan,Bowler,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616569/noor-ahmad.jpg?d=low&p=gthumb,"Noor Ahmad
Bowler",Afghanistan,Bowler,Right Handed Bat,Left-arm wrist-spin
https://static.cricbuzz.com/a/img/v1/i1/c352447/naveen-ul-haq.jpg?d=low&p=gthumb,"Naveen-ul-Haq
Bowler",Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616558/fazalhaq-farooqi.jpg?d=low&p=gthumb,"Fazalhaq Farooqi
Bowler",Afghanistan,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616563/fareed-ahmad-malik.jpg?d=low&p=gthumb,"Fareed Ahmad Malik
Bowler",Afghanistan,Bowler,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kushal-bhurtel.jpg?d=low&p=gthumb,"Kushal Bhurtel
Batsman",Nepal,Batsman,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/sundeep-jora.jpg?d=low&p=gthumb,"Sundeep Jora
Batsman",Nepal,Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/rohit-paudel.jpg?d=low&p=gthumb,Rohit Paudel,Nepal,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/dipendra-singh-airee.jpg?d=low&p=gthumb,"Dipendra Singh Airee
Batting Allrounder",Nepal,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c155391/anil-sah.jpg?d=low&p=gthumb,"Anil Sah
Batting Allrounder",Nepal,Batting Allrounder,Right Handed Bat,Right-arm offbreak
