match_name,team,player_name,overs,maidens,runs,wickets,no_balls,wides,economy,player_name_clean,team_clean,player_id
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Paul van Meekeren,4,1,13,0,0,1,3.2,paul van meekeren,NED,P272
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Bas de Leede,3.5,0,34,1,1,0,8.9,bas de leede,NED,P265
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Tim Pringle,2,0,14,0,0,0,7,tim pringle,NED,P266
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Vikramjit Singh,1,0,11,0,0,0,11,vikramjit singh,NED,P262
AUSTRALIA vs ENGLAND,ENGLAND,Moeen,2,0,18,1,0,0,9,moeen ali,ENG,P33
AUSTRALIA vs ENGLAND,ENGLAND,Will Jacks,1,0,22,0,0,0,22,will jacks,ENG,P34
AUSTRALIA vs ENGLAND,ENGLAND,Jofra Archer,4,0,28,1,0,1,7,jofra archer,ENG,P40
AUSTRALIA vs ENGLAND,ENGLAND,Mark Wood,3,0,32,0,0,0,10.7,mark wood,ENG,P45
AUSTRALIA vs ENGLAND,ENGLAND,Adil Rashid,4,0,41,1,0,1,10.2,adil rashid,ENG,P43
AUSTRALIA vs ENGLAND,ENGLAND,Chris Jordan,4,0,44,2,0,4,11,chris jordan,ENG,P42
AUSTRALIA vs ENGLAND,ENGLAND,Livingstone,2,0,15,1,0,0,7.5,liam livingstone,ENG,P35
AUSTRALIA vs ENGLAND,AUSTRALIA,Mitchell Starc,3,0,37,0,0,2,12.3,mitchell starc,AUS,P89
AUSTRALIA vs ENGLAND,AUSTRALIA,Josh Hazlewood,4,0,28,1,0,0,7,josh hazlewood,AUS,P88
AUSTRALIA vs ENGLAND,AUSTRALIA,Pat Cummins,4,0,23,2,0,1,5.8,pat cummins,AUS,P86
AUSTRALIA vs ENGLAND,AUSTRALIA,Marcus Stoinis,3,0,24,1,0,2,8,marcus stoinis,AUS,P82
AUSTRALIA vs ENGLAND,AUSTRALIA,Adam Zampa,4,0,28,2,0,0,7,adam zampa,AUS,P90
AUSTRALIA vs ENGLAND,AUSTRALIA,Glenn Maxwell,2,0,22,0,0,0,11,glenn maxwell,AUS,P81
WEST INDIES vs UGANDA,UGANDA,Alpesh Ramjani,3,0,16,1,0,0,5.3,alpesh ramjani,UGA,P220
WEST INDIES vs UGANDA,UGANDA,Cosmas Kyewuta,4,0,42,1,1,3,10.5,cosmas kyewuta,UGA,P225
WEST INDIES vs UGANDA,UGANDA,Juma Miyagi,3,0,29,0,1,0,9.7,juma miyagi,UGA,P226
WEST INDIES vs UGANDA,UGANDA,Nsubuga,3,0,29,0,1,0,9.7,frank nsubuga,UGA,P227
WEST INDIES vs UGANDA,UGANDA,Masaba (c),4,0,31,2,0,2,7.8,brian masaba,UGA,P223
WEST INDIES vs UGANDA,UGANDA,Dinesh Nakrani,3,0,20,1,0,0,6.7,dinesh nakrani,UGA,P217
WEST INDIES vs UGANDA,WEST INDIES,Akeal Hosein,4,0,11,5,0,0,2.8,akeal hosein,WI,P212
WEST INDIES vs UGANDA,WEST INDIES,Romario Shepherd,2,0,9,1,0,0,4.5,romario shepherd,WI,P205
WEST INDIES vs UGANDA,WEST INDIES,Andre Russell,1,0,4,1,0,1,4,andre russell,WI,P204
WEST INDIES vs UGANDA,WEST INDIES,Alzarri Joseph,3,0,6,2,0,1,2,alzarri joseph,WI,P210
WEST INDIES vs UGANDA,WEST INDIES,Gudakesh Motie,2,0,6,1,0,0,3,gudakesh motie,WI,P206
INDIA vs PAKISTAN,PAKISTAN,Shaheen Afridi,4,0,29,1,0,1,7.2,shaheen afridi,PAK,P304
INDIA vs PAKISTAN,PAKISTAN,Naseem Shah,4,0,21,3,1,2,5.2,naseem shah,PAK,P303
INDIA vs PAKISTAN,PAKISTAN,Amir,4,0,23,2,0,0,5.8,mohammad amir,PAK,P302
INDIA vs PAKISTAN,PAKISTAN,Iftikhar Ahmed,1,0,7,0,0,1,7,iftikhar ahmed,PAK,P292
INDIA vs PAKISTAN,PAKISTAN,Imad Wasim,3,0,17,0,0,1,5.7,imad wasim,PAK,P294
INDIA vs PAKISTAN,PAKISTAN,Haris Rauf,3,0,21,3,0,0,7,haris rauf,PAK,P300
INDIA vs PAKISTAN,INDIA,Arshdeep Singh,4,0,31,1,0,2,7.8,arshdeep singh,IND,P13
INDIA vs PAKISTAN,INDIA,Mohammed Siraj,4,0,19,0,1,1,4.8,mohammed siraj,IND,P15
INDIA vs PAKISTAN,INDIA,Jasprit Bumrah,4,0,14,3,0,0,3.5,jasprit bumrah,IND,P14
INDIA vs PAKISTAN,INDIA,Hardik Pandya,4,0,24,2,0,1,6,hardik pandya,IND,P5
